0	2.352926615037102e-025	2.352926615037102e-025	2.352926615037102e-025	-7.058779845111304e-025
0.01	3.280328155037102e-025	1.425525075037101e-025	2.443439534392504e-025	-7.149292764466707e-025
0.02	4.207729695037101e-025	4.981235350371015e-026	2.705269613716514e-025	-7.411122843790718e-025
0.03	5.135131235037102e-025	-4.292780049628984e-026	3.113856458265621e-025	-7.819709688339824e-025
0.04	6.062532775037102e-025	-1.356679544962899e-025	3.639254330604456e-025	-8.345107560678659e-025
0.05	6.989934315037102e-025	-2.284081084962899e-025	4.253653062289065e-025	-8.959506292363268e-025
0.06	7.917335855037101e-025	-3.211482624962898e-025	4.934576716913917e-025	-9.640429946988119e-025
0.07000000000000001	8.844737395037102e-025	-4.1388841649629e-025	5.665094451680299e-025	-1.03709476817545e-024
0.08	9.772138935037101e-025	-5.066285704962899e-025	6.4328440439455e-025	-1.11386972740197e-024
0.09	1.06995404750371e-024	-5.993687244962898e-025	7.228879976151426e-025	-1.193473320622563e-024
0.1	1.16269420150371e-024	-6.921088784962899e-025	8.046708775804107e-025	-1.275256200587831e-024
0.11	1.25543435550371e-024	-7.848490324962899e-025	8.881572136875188e-025	-1.358742536694939e-024
0.12	1.34817450950371e-024	-8.775891864962898e-025	9.729939575721998e-025	-1.44357928057962e-024
0.13	1.44091466350371e-024	-9.703293404962899e-025	1.058915574421439e-024	-1.529500897428859e-024
0.14	1.53365481750371e-024	-1.06306949449629e-024	1.145719588392346e-024	-1.616304911399766e-024
0.15	1.62639497150371e-024	-1.15580964849629e-024	1.233249535069931e-024	-1.703834858077351e-024
0.16	1.71913512550371e-024	-1.24854980249629e-024	1.321382964373303e-024	-1.791968287380723e-024
0.17	1.81187527950371e-024	-1.34128995649629e-024	1.4100229002077e-024	-1.88060822321512e-024
0.18	1.90461543350371e-024	-1.43403011049629e-024	1.49909168556235e-024	-1.96967700856977e-024
0.19	1.99735558750371e-024	-1.52677026449629e-024	1.588526491102622e-024	-2.059111814110042e-024
0.2	2.09009574150371e-024	-1.61951041849629e-024	1.678275997261239e-024	-2.148861320268659e-024
0.21	2.18283589550371e-024	-1.71225057249629e-024	1.768297914070346e-024	-2.238883237077766e-024
0.22	2.27557604950371e-024	-1.80499072649629e-024	1.858557106167972e-024	-2.329142429175392e-024
0.23	2.36831620350371e-024	-1.89773088049629e-024	1.949024160057719e-024	-2.419609483065139e-024
0.24	2.46105635750371e-024	-1.99047103449629e-024	2.039674278181695e-024	-2.510259601189116e-024
0.25	2.55379651150371e-024	-2.08321118849629e-024	2.130486417086432e-024	-2.601071740093852e-024
0.26	2.64653666550371e-024	-2.17595134249629e-024	2.221442609756902e-024	-2.692027932764322e-024
0.27	2.73927681950371e-024	-2.26869149649629e-024	2.312527428248502e-024	-2.783112751255922e-024
0.28	2.83201697350371e-024	-2.36143165049629e-024	2.403727554175183e-024	-2.874312877182603e-024
0.29	2.92475712750371e-024	-2.45417180449629e-024	2.495031432831368e-024	-2.965616755838788e-024
0.3	3.01749728150371e-024	-2.54691195849629e-024	2.586428992695964e-024	-3.057014315703384e-024
0.31	3.11023743550371e-024	-2.63965211249629e-024	2.677911416445501e-024	-3.148496739452921e-024
0.32	3.20297758950371e-024	-2.73239226649629e-024	2.769470952844075e-024	-3.240056275851495e-024
0.33	3.29571774350371e-024	-2.82513242049629e-024	2.861100761297195e-024	-3.331686084304616e-024
0.34	3.38845789750371e-024	-2.91787257449629e-024	2.952794782677979e-024	-3.4233801056854e-024
0.35	3.481198051503711e-024	-3.01061272849629e-024	3.044547631416214e-024	-3.515132954423634e-024
0.36	3.573938205503711e-024	-3.10335288249629e-024	3.136354504897463e-024	-3.606939827904883e-024
0.37	3.66667835950371e-024	-3.19609303649629e-024	3.228211107033138e-024	-3.698796430040558e-024
0.38	3.759418513503711e-024	-3.28883319049629e-024	3.320113583493438e-024	-3.790698906500859e-024
0.39	3.852158667503711e-024	-3.38157334449629e-024	3.412058466587523e-024	-3.882643789594943e-024
0.4	3.944898821503711e-024	-3.47431349849629e-024	3.504042628162081e-024	-3.974627951169502e-024
0.41	4.037638975503711e-024	-3.56705365249629e-024	3.596063239195073e-024	-4.066648562202494e-024
0.42	4.13037912950371e-024	-3.65979380649629e-024	3.688117735004245e-024	-4.158703058011666e-024
